feature,importance
html_length,0.18783862725708445
num_links,0.10733931213290361
num_meta_tags,0.07773728007089199
num_internal_links,0.07674731361479506
path_length,0.061633751652882304
domain_length,0.05777498817037865
num_external_links,0.05502777623362838
has_updated_date,0.05181145157081439
num_subdomains,0.04456890955296819
url_length,0.04151942480760352
num_scripts,0.0390392953052553
ratio_external_links,0.024784453798964778
num_dots,0.01974342465713688
num_images,0.019595044458550568
num_digits,0.0194786253833466
